month,department,account,budget,actual,variance,approval_status
2025-01,Operations,Salaries,105362.68,104698.19,-664.49,Approved
2025-01,Operations,Rent,297025.35,258639.8,-38385.55,Approved
2025-01,Operations,Travel,123174.3,102727.62,-20446.68,Approved
2025-01,Operations,IT Services,187394.86,163050.8,-24344.06,Additional Approval
2025-01,Operations,Training,217677.8,212528.9,-5148.9,Additional Approval
2025-01,Operations,Marketing,247119.23,270263.29,23144.06,Approved
2025-01,Operations,Professional Fees,69973.08,54426.84,-15546.24,Additional Approval
2025-01,Operations,Utilities,44121.55,48369.31,4247.76,Approved
2025-01,Sales,Salaries,176086.58,225246.79,49160.21,Additional Approval
2025-01,Sales,Rent,128897.33,155376.25,26478.92,Approved
2025-01,Sales,Travel,262102.97,303345.73,41242.76,Approved
2025-01,Sales,IT Services,41318.41,48879.66,7561.25,Approved
2025-01,Sales,Training,180977.05,143769.23,-37207.82,Additional Approval
2025-01,Sales,Marketing,219475.78,252161.85,32686.07,Approved
2025-01,Sales,Professional Fees,63235.51,78207.55,14972.04,Approved
2025-01,Sales,Utilities,43929.74,37280.62,-6649.12,Approved
2025-01,Finance,Salaries,170538.79,209917.96,39379.17,Additional Approval
2025-01,Finance,Rent,124468.2,112774.43,-11693.77,Approved
2025-01,Finance,Travel,197440.1,228568.14,31128.04,Approved
2025-01,Finance,IT Services,264184.59,283718.78,19534.19,Additional Approval
2025-01,Finance,Training,184601.66,188922.97,4321.31,Approved
2025-01,Finance,Marketing,204610.6,221516.39,16905.79,Additional Approval
2025-01,Finance,Professional Fees,241222.08,305320.11,64098.03,Approved
2025-01,Finance,Utilities,111204.24,90616.6,-20587.64,Additional Approval
2025-01,IT,Salaries,81459.56,79367.8,-2091.76,Additional Approval
2025-01,IT,Rent,232194.31,195556.61,-36637.7,Approved
2025-01,IT,Travel,218466.77,252114.43,33647.66,Approved
2025-01,IT,IT Services,44080.22,46464.29,2384.07,Additional Approval
2025-01,IT,Training,98806.64,111245.08,12438.44,Additional Approval
2025-01,IT,Marketing,95395.19,72568.36,-22826.83,Approved
2025-01,IT,Professional Fees,177829.58,188705.78,10876.2,Additional Approval
2025-01,IT,Utilities,136362.49,145029.27,8666.78,Approved
2025-02,Operations,Salaries,286547.05,318206.1,31659.05,Approved
2025-02,Operations,Rent,274126.26,295970.25,21843.99,Additional Approval
2025-02,Operations,Travel,62213.51,73830.45,11616.94,Approved
2025-02,Operations,IT Services,90762.16,99645.04,8882.88,Approved
2025-02,Operations,Training,133829.35,166918.77,33089.42,Approved
2025-02,Operations,Marketing,203330.73,161325.45,-42005.28,Approved
2025-02,Operations,Professional Fees,197217.74,203810.36,6592.62,Approved
2025-02,Operations,Utilities,231464.79,196710.04,-34754.75,Approved
2025-02,Sales,Salaries,190717.51,211777.12,21059.61,Approved
2025-02,Sales,Rent,122796.51,94838.28,-27958.23,Additional Approval
2025-02,Sales,Travel,221106.12,189683.39,-31422.73,Approved
2025-02,Sales,IT Services,219052.44,229322.11,10269.67,Additional Approval
2025-02,Sales,Training,295409.11,278213.56,-17195.55,Additional Approval
2025-02,Sales,Marketing,126882.96,125808.96,-1074.0,Approved
2025-02,Sales,Professional Fees,124052.27,122161.73,-1890.54,Approved
2025-02,Sales,Utilities,41347.72,37712.51,-3635.21,Additional Approval
2025-02,Finance,Salaries,164944.23,141062.25,-23881.98,Additional Approval
2025-02,Finance,Rent,258927.39,275645.17,16717.78,Approved
2025-02,Finance,Travel,159638.87,188231.32,28592.45,Additional Approval
2025-02,Finance,IT Services,237135.12,219048.19,-18086.93,Additional Approval
2025-02,Finance,Training,65333.25,82182.92,16849.67,Approved
2025-02,Finance,Marketing,296527.92,320077.28,23549.36,Additional Approval
2025-02,Finance,Professional Fees,57234.19,67416.24,10182.05,Additional Approval
2025-02,Finance,Utilities,60051.53,70207.1,10155.57,Additional Approval
2025-02,IT,Salaries,238157.2,236604.23,-1552.97,Approved
2025-02,IT,Rent,93052.35,117670.54,24618.19,Approved
2025-02,IT,Travel,161658.37,209694.14,48035.77,Approved
2025-02,IT,IT Services,111301.44,91236.75,-20064.69,Approved
2025-02,IT,Training,256372.22,272078.05,15705.83,Approved
2025-02,IT,Marketing,92830.63,79073.43,-13757.2,Approved
2025-02,IT,Professional Fees,225730.34,263088.8,37358.46,Approved
2025-02,IT,Utilities,208242.04,267009.75,58767.71,Approved
2025-03,Operations,Salaries,230175.89,245309.48,15133.59,Approved
2025-03,Operations,Rent,187764.16,161891.78,-25872.38,Approved
2025-03,Operations,Travel,211861.07,211510.23,-350.84,Approved
2025-03,Operations,IT Services,202377.66,228371.65,25993.99,Additional Approval
2025-03,Operations,Training,238009.07,292286.12,54277.05,Approved
2025-03,Operations,Marketing,106081.52,99389.6,-6691.92,Additional Approval
2025-03,Operations,Professional Fees,266658.54,235071.08,-31587.46,Approved
2025-03,Operations,Utilities,141787.82,146921.51,5133.69,Approved
2025-03,Sales,Salaries,57549.0,43738.19,-13810.81,Approved
2025-03,Sales,Rent,259143.25,287787.87,28644.62,Approved
2025-03,Sales,Travel,61410.07,67771.04,6360.97,Additional Approval
2025-03,Sales,IT Services,114539.23,96017.9,-18521.33,Approved
2025-03,Sales,Training,121289.85,133557.64,12267.79,Approved
2025-03,Sales,Marketing,94168.14,112664.28,18496.14,Additional Approval
2025-03,Sales,Professional Fees,168265.49,141092.73,-27172.76,Approved
2025-03,Sales,Utilities,100010.75,88718.63,-11292.12,Additional Approval
2025-03,Finance,Salaries,155530.68,184868.62,29337.94,Approved
2025-03,Finance,Rent,131223.63,112134.17,-19089.46,Additional Approval
2025-03,Finance,Travel,269887.2,349339.51,79452.31,Additional Approval
2025-03,Finance,IT Services,84751.18,97330.48,12579.3,Approved
2025-03,Finance,Training,215890.61,255085.15,39194.54,Approved
2025-03,Finance,Marketing,59290.97,45192.96,-14098.01,Approved
2025-03,Finance,Professional Fees,85192.95,101265.04,16072.09,Approved
2025-03,Finance,Utilities,102162.74,114492.46,12329.72,Approved
2025-03,IT,Salaries,74570.9,68410.77,-6160.13,Additional Approval
2025-03,IT,Rent,106549.62,102796.34,-3753.28,Approved
2025-03,IT,Travel,128956.82,131432.53,2475.71,Additional Approval
2025-03,IT,IT Services,190490.66,184898.49,-5592.17,Approved
2025-03,IT,Training,291261.46,233493.65,-57767.81,Approved
2025-03,IT,Marketing,221494.6,234952.1,13457.5,Approved
2025-03,IT,Professional Fees,140910.79,139012.62,-1898.17,Approved
2025-03,IT,Utilities,122219.64,141984.9,19765.26,Approved
2025-04,Operations,Salaries,116965.73,120795.74,3830.01,Approved
2025-04,Operations,Rent,189853.55,161728.29,-28125.26,Additional Approval
2025-04,Operations,Travel,204119.71,196461.94,-7657.77,Additional Approval
2025-04,Operations,IT Services,155165.03,122801.6,-32363.43,Approved
2025-04,Operations,Training,132097.04,117604.94,-14492.1,Approved
2025-04,Operations,Marketing,109781.56,104278.82,-5502.74,Approved
2025-04,Operations,Professional Fees,188187.79,231100.51,42912.72,Approved
2025-04,Operations,Utilities,277617.57,272916.29,-4701.28,Approved
2025-04,Sales,Salaries,126249.38,121143.83,-5105.55,Additional Approval
2025-04,Sales,Rent,248604.46,213811.47,-34792.99,Approved
2025-04,Sales,Travel,156321.88,144260.89,-12060.99,Approved
2025-04,Sales,IT Services,137056.43,150255.7,13199.27,Approved
2025-04,Sales,Training,175607.13,222699.88,47092.75,Approved
2025-04,Sales,Marketing,118527.42,132029.14,13501.72,Approved
2025-04,Sales,Professional Fees,61515.26,52452.1,-9063.16,Approved
2025-04,Sales,Utilities,64167.4,61813.83,-2353.57,Approved
2025-04,Finance,Salaries,210338.18,212560.16,2221.98,Approved
2025-04,Finance,Rent,243233.17,231953.19,-11279.98,Additional Approval
2025-04,Finance,Travel,298224.19,273392.03,-24832.16,Additional Approval
2025-04,Finance,IT Services,79751.87,80794.49,1042.62,Approved
2025-04,Finance,Training,113208.83,90486.03,-22722.8,Approved
2025-04,Finance,Marketing,183479.47,211101.55,27622.08,Additional Approval
2025-04,Finance,Professional Fees,183426.16,187369.14,3942.98,Approved
2025-04,Finance,Utilities,179612.01,136048.01,-43564.0,Approved
2025-04,IT,Salaries,199860.91,237480.11,37619.2,Approved
2025-04,IT,Rent,65988.73,75091.51,9102.78,Approved
2025-04,IT,Travel,76790.49,89445.0,12654.51,Additional Approval
2025-04,IT,IT Services,283372.79,257676.17,-25696.62,Approved
2025-04,IT,Training,91168.69,88503.19,-2665.5,Approved
2025-04,IT,Marketing,285834.75,360582.39,74747.64,Additional Approval
2025-04,IT,Professional Fees,56221.25,55783.33,-437.92,Approved
2025-04,IT,Utilities,49756.02,58991.64,9235.62,Additional Approval
2025-05,Operations,Salaries,107390.66,107674.04,283.38,Approved
2025-05,Operations,Rent,177895.87,206162.46,28266.59,Approved
2025-05,Operations,Travel,210688.75,268160.8,57472.05,Additional Approval
2025-05,Operations,IT Services,43768.63,49461.78,5693.15,Approved
2025-05,Operations,Training,276661.75,208976.61,-67685.14,Approved
2025-05,Operations,Marketing,271084.2,234235.08,-36849.12,Additional Approval
2025-05,Operations,Professional Fees,58448.88,62384.41,3935.53,Approved
2025-05,Operations,Utilities,288031.07,295672.21,7641.14,Additional Approval
2025-05,Sales,Salaries,100150.05,129467.56,29317.51,Additional Approval
2025-05,Sales,Rent,224697.11,182741.52,-41955.59,Additional Approval
2025-05,Sales,Travel,267443.73,208532.92,-58910.81,Approved
2025-05,Sales,IT Services,46570.61,60116.31,13545.7,Additional Approval
2025-05,Sales,Training,56380.55,47579.34,-8801.21,Approved
2025-05,Sales,Marketing,60525.96,70050.03,9524.07,Approved
2025-05,Sales,Professional Fees,175335.5,214601.37,39265.87,Additional Approval
2025-05,Sales,Utilities,146573.76,156988.07,10414.31,Approved
2025-05,Finance,Salaries,187546.35,232507.89,44961.54,Approved
2025-05,Finance,Rent,55846.66,48513.53,-7333.13,Approved
2025-05,Finance,Travel,169969.55,215821.02,45851.47,Approved
2025-05,Finance,IT Services,67021.69,67206.48,184.79,Approved
2025-05,Finance,Training,151245.59,116393.4,-34852.19,Additional Approval
2025-05,Finance,Marketing,61928.15,61943.43,15.28,Approved
2025-05,Finance,Professional Fees,53273.76,55102.45,1828.69,Approved
2025-05,Finance,Utilities,286258.19,252607.46,-33650.73,Approved
2025-05,IT,Salaries,280398.38,348674.05,68275.67,Approved
2025-05,IT,Rent,107457.23,127053.98,19596.75,Additional Approval
2025-05,IT,Travel,73289.41,60077.14,-13212.27,Approved
2025-05,IT,IT Services,288737.6,227498.27,-61239.33,Approved
2025-05,IT,Training,170241.32,203250.46,33009.14,Approved
2025-05,IT,Marketing,248773.66,256461.43,7687.77,Approved
2025-05,IT,Professional Fees,231334.68,253181.54,21846.86,Approved
2025-05,IT,Utilities,94621.84,81451.07,-13170.77,Approved
2025-06,Operations,Salaries,188517.48,222305.81,33788.33,Approved
2025-06,Operations,Rent,160946.78,121376.09,-39570.69,Approved
2025-06,Operations,Travel,236660.46,292251.15,55590.69,Approved
2025-06,Operations,IT Services,192899.47,226746.86,33847.39,Approved
2025-06,Operations,Training,234545.64,235307.23,761.59,Approved
2025-06,Operations,Marketing,201769.9,262170.46,60400.56,Additional Approval
2025-06,Operations,Professional Fees,139210.8,176191.68,36980.88,Additional Approval
2025-06,Operations,Utilities,235610.15,196289.98,-39320.17,Approved
