SalesLineKey,OrderID,OrderDate,ShipDate,CustomerKey,ProductKey,RegionKey,Channel,Quantity,UnitPrice,DiscountPct,Revenue,Cost,GrossProfit
L0001,O0001,2026-09-24,2026-09-25,C003,P106,R02,Partner,2,174.3,0.15,296.31,220.0,76.31
L0002,O0001,2025-11-25,2025-11-26,C024,P102,R01,Retail,2,28.53,0.05,54.21,36.0,18.21
L0003,O0002,2025-11-04,2025-11-11,C043,P109,R02,Partner,7,7.23,0,50.61,24.5,26.11
L0004,O0002,2025-09-13,2025-09-15,C036,P101,R01,Retail,4,25.76,0.15,87.58,56.0,31.58
L0005,O0003,2026-09-27,2026-09-28,C023,P112,R02,Online,7,32.2,0.05,214.13,112.0,102.13
L0006,O0003,2025-03-10,2025-03-14,C043,P106,R02,Online,5,160.5,0,802.5,550.0,252.5
L0007,O0004,2025-03-08,2025-03-14,C013,P110,R04,Online,6,32.53,0,195.18,114.0,81.18
L0008,O0004,2026-03-06,2026-03-07,C002,P111,R03,Online,4,52.13,0.05,198.09,124.0,74.09
L0009,O0005,2026-04-30,2026-05-04,C007,P102,R02,Partner,2,33.21,0.05,63.1,36.0,27.1
L0010,O0005,2026-04-20,2026-04-24,C009,P110,R04,Retail,7,36.97,0.15,219.97,133.0,86.97
L0011,O0006,2026-07-10,2026-07-16,C019,P105,R02,Partner,5,28.59,0,142.95,75.0,67.95
L0012,O0006,2026-12-28,2026-12-29,C051,P107,R02,Retail,3,45.26,0.15,115.41,72.0,43.41
L0013,O0007,2025-07-06,2025-07-11,C043,P108,R02,Partner,4,3.74,0.05,14.21,8.0,6.21
L0014,O0007,2025-09-13,2025-09-14,C027,P102,R02,Retail,6,29.11,0.05,165.93,108.0,57.93
L0015,O0008,2025-03-06,2025-03-11,C037,P110,R04,Retail,5,33.53,0.1,150.89,95.0,55.89
L0016,O0008,2026-02-08,2026-02-12,C019,P110,R02,Retail,3,37.26,0.05,106.19,57.0,49.19
L0017,O0009,2026-01-10,2026-01-16,C032,P112,R01,Online,3,32.84,0.05,93.59,48.0,45.59
L0018,O0009,2025-01-04,2025-01-10,C039,P104,R02,Partner,2,24.89,0.15,42.31,24.0,18.31
L0019,O0010,2026-02-09,2026-02-12,C032,P110,R01,Online,3,33.0,0.15,84.15,57.0,27.15
L0020,O0010,2026-07-09,2026-07-12,C005,P111,R04,Online,6,52.36,0,314.16,186.0,128.16
L0021,O0011,2026-11-18,2026-11-21,C041,P110,R04,Partner,2,36.21,0.05,68.8,38.0,30.8
L0022,O0011,2026-11-29,2026-11-30,C037,P106,R04,Online,7,158.01,0,1106.07,770.0,336.07
L0023,O0012,2025-11-29,2025-12-05,C035,P108,R02,Retail,4,3.84,0.15,13.06,8.0,5.06
L0024,O0012,2026-06-08,2026-06-14,C022,P106,R03,Retail,2,184.46,0.15,313.58,220.0,93.58
L0025,O0013,2026-11-26,2026-11-28,C053,P101,R04,Retail,1,22.76,0.05,21.62,14.0,7.62
L0026,O0013,2025-04-20,2025-04-21,C052,P108,R01,Partner,2,4.0,0.05,7.6,4.0,3.6
L0027,O0014,2026-01-17,2026-01-24,C054,P112,R03,Retail,1,30.09,0.15,25.58,16.0,9.58
L0028,O0014,2026-10-11,2026-10-18,C031,P103,R02,Online,2,40.02,0.1,72.04,44.0,28.04
L0029,O0015,2026-05-19,2026-05-22,C050,P111,R03,Partner,1,58.97,0.05,56.02,31.0,25.02
L0030,O0015,2026-12-10,2026-12-14,C059,P110,R02,Online,1,33.88,0.15,28.8,19.0,9.8
L0031,O0016,2025-12-01,2025-12-06,C016,P109,R01,Retail,4,6.73,0,26.92,14.0,12.92
L0032,O0016,2026-03-04,2026-03-07,C059,P104,R02,Partner,7,25.06,0,175.42,84.0,91.42
L0033,O0017,2026-06-13,2026-06-14,C052,P102,R01,Retail,7,28.75,0,201.25,126.0,75.25
L0034,O0017,2025-02-10,2025-02-13,C035,P108,R02,Retail,4,4.16,0.05,15.81,8.0,7.81
L0035,O0018,2026-09-20,2026-09-22,C054,P101,R03,Online,7,24.85,0.1,156.56,98.0,58.56
L0036,O0018,2025-09-27,2025-10-03,C009,P101,R04,Retail,4,25.28,0.1,91.01,56.0,35.01
L0037,O0019,2025-05-28,2025-06-01,C046,P110,R03,Retail,5,35.97,0.1,161.87,95.0,66.87
L0038,O0019,2026-04-13,2026-04-15,C058,P112,R03,Retail,1,30.3,0.15,25.75,16.0,9.75
L0039,O0020,2025-10-15,2025-10-17,C039,P110,R02,Retail,3,35.58,0,106.74,57.0,49.74
