employee_id,department,job_role,location,hire_date,age,gender,monthly_salary,performance_rating,overtime,absence_days,left_company
E0001,Programs,Manager,Rajshahi,2023-09-07,44,Male,30987.22,4,No,15,1
E0002,IT,Specialist,Chattogram,2022-09-02,38,Male,100856.59,3,No,19,0
E0003,HR,Manager,Khulna,2023-07-09,57,Male,49275.84,5,Yes,12,1
E0004,Sales,Manager,Dhaka,2022-04-04,38,Male,65645.04,3,No,13,0
E0005,HR,Analyst,Dhaka,2025-03-07,57,Male,90411.55,4,No,6,0
E0006,HR,Coordinator,Rajshahi,2024-04-22,31,Female,60105.53,3,No,7,0
E0007,HR,Manager,Chattogram,2022-02-23,26,Male,50795.5,4,No,1,0
E0008,HR,Analyst,Khulna,2020-06-18,35,Female,27692.57,5,No,11,0
E0009,Programs,Coordinator,Rajshahi,2020-07-18,29,Male,106296.14,5,Yes,3,0
E0010,IT,Manager,Chattogram,2018-06-06,28,Female,44335.76,3,No,3,1
E0011,Finance,Analyst,Rajshahi,2023-07-27,42,Male,100600.62,2,No,9,0
E0012,HR,Analyst,Rajshahi,2024-04-07,27,Male,119333.51,3,No,15,0
E0013,IT,Specialist,Chattogram,2021-10-12,36,Female,111971.26,2,No,8,0
E0014,Finance,Analyst,Khulna,2022-09-03,40,Female,55214.16,5,No,14,0
E0015,HR,Coordinator,Rajshahi,2021-03-30,34,Male,80455.79,5,No,4,0
E0016,IT,Analyst,Dhaka,2018-06-11,58,Male,73147.41,3,Yes,5,0
E0017,HR,Coordinator,Rajshahi,2020-10-09,21,Male,55844.78,5,No,3,0
E0018,Programs,Coordinator,Chattogram,2019-01-06,30,Male,62735.63,3,No,7,0
E0019,Finance,Manager,Dhaka,2019-12-17,25,Female,104420.06,4,No,19,1
E0020,Sales,Coordinator,Khulna,2018-10-01,43,Female,100035.06,3,No,1,0
E0021,Finance,Manager,Rajshahi,2022-07-07,51,Female,46632.32,5,No,0,0
E0022,Operations,Specialist,Dhaka,2021-12-25,56,Male,72804.6,5,No,7,0
E0023,HR,Analyst,Dhaka,2019-02-15,39,Female,27221.63,2,Yes,1,0
E0024,HR,Specialist,Rajshahi,2018-04-06,30,Female,71997.41,4,No,13,0
E0025,Sales,Officer,Rajshahi,2024-10-24,44,Female,36825.09,3,Yes,20,0
E0026,Finance,Coordinator,Dhaka,2019-09-08,44,Male,33668.81,3,No,3,0
E0027,Sales,Analyst,Khulna,2019-12-30,28,Female,113588.49,3,Yes,7,0
E0028,Operations,Manager,Chattogram,2021-11-15,21,Female,112025.76,5,No,17,0
E0029,Programs,Analyst,Khulna,2019-09-15,24,Female,56681.64,4,Yes,9,1
E0030,Finance,Officer,Chattogram,2019-01-01,48,Male,86492.02,2,Yes,21,0
E0031,IT,Officer,Rajshahi,2025-06-25,48,Female,70833.53,4,No,4,0
E0032,IT,Specialist,Dhaka,2020-08-05,33,Male,112369.87,4,No,5,0
E0033,Operations,Manager,Khulna,2023-12-17,55,Male,56056.4,2,Yes,6,0
E0034,Programs,Specialist,Khulna,2023-01-19,23,Female,79276.87,3,Yes,20,1
E0035,Programs,Coordinator,Dhaka,2023-12-23,51,Female,56532.37,4,No,5,0
E0036,Finance,Specialist,Dhaka,2024-04-29,52,Male,33591.39,3,Yes,8,0
