month,project,location,beneficiary_target,beneficiary_reached,budget,expense,utilization_rate,quality_issues,status
2025-01,Education,Dhaka,277,259,284272.33,312025.78,1.0976,3,Delayed
2025-01,Education,Chattogram,312,254,207246.03,147057.96,0.7096,2,On track
2025-01,Education,Khulna,321,299,230761.23,214476.9,0.9294,5,Delayed
2025-01,Education,Rajshahi,367,375,296939.41,238581.18,0.8035,0,On track
2025-01,Primary Health,Dhaka,234,273,158512.19,170701.71,1.0769,1,On track
2025-01,Primary Health,Chattogram,314,205,123991.96,131677.33,1.062,3,Delayed
2025-01,Primary Health,Khulna,285,260,134234.98,104770.72,0.7805,2,On track
2025-01,Primary Health,Rajshahi,187,128,265378.12,303204.4,1.1425,3,At risk
2025-01,Climate Action,Dhaka,386,390,147325.93,112801.62,0.7657,6,On track
2025-01,Climate Action,Chattogram,229,152,225152.65,215947.44,0.9591,1,At risk
2025-01,Climate Action,Khulna,127,145,287473.66,211087.0,0.7343,7,On track
2025-01,Climate Action,Rajshahi,157,107,67608.32,47372.27,0.7007,0,Delayed
2025-01,Women Empowerment,Dhaka,162,126,162151.58,124210.27,0.766,5,Delayed
2025-01,Women Empowerment,Chattogram,192,150,293555.66,225623.93,0.7686,0,At risk
2025-01,Women Empowerment,Khulna,124,135,51677.28,55862.69,1.081,1,Delayed
2025-01,Women Empowerment,Rajshahi,314,300,270633.48,204863.32,0.757,2,Delayed
2025-02,Education,Dhaka,331,362,64087.26,53147.86,0.8293,4,At risk
2025-02,Education,Chattogram,121,108,94172.62,95979.36,1.0192,7,On track
2025-02,Education,Khulna,249,256,271472.97,262105.49,0.9655,3,At risk
2025-02,Education,Rajshahi,111,88,88747.38,71347.85,0.8039,1,At risk
2025-02,Primary Health,Dhaka,354,312,132242.09,121687.8,0.9202,0,Delayed
2025-02,Primary Health,Chattogram,253,244,271333.3,204811.29,0.7548,3,At risk
2025-02,Primary Health,Khulna,80,79,265844.51,281297.13,1.0581,4,Delayed
2025-02,Primary Health,Rajshahi,292,308,212713.99,205751.47,0.9673,1,On track
2025-02,Climate Action,Dhaka,419,377,53367.16,44062.72,0.8257,5,On track
2025-02,Climate Action,Chattogram,400,377,181207.79,149451.14,0.8248,4,On track
2025-02,Climate Action,Khulna,353,361,200622.9,186305.08,0.9286,1,At risk
2025-02,Climate Action,Rajshahi,304,208,295262.51,307401.1,1.0411,3,At risk
2025-02,Women Empowerment,Dhaka,236,209,218290.83,233133.61,1.068,2,On track
2025-02,Women Empowerment,Chattogram,121,98,224476.0,248624.42,1.1076,3,Delayed
2025-02,Women Empowerment,Khulna,95,97,92638.89,95410.95,1.0299,4,Delayed
2025-02,Women Empowerment,Rajshahi,262,275,199762.43,163521.36,0.8186,2,At risk
2025-03,Education,Dhaka,226,151,243051.17,177932.91,0.7321,6,On track
2025-03,Education,Chattogram,341,318,271109.96,248929.89,0.9182,3,On track
2025-03,Education,Khulna,263,193,198907.42,204550.05,1.0284,6,On track
2025-03,Education,Rajshahi,133,159,254633.7,263069.5,1.0331,6,Delayed
2025-03,Primary Health,Dhaka,219,166,63819.9,62649.68,0.9817,2,Delayed
2025-03,Primary Health,Chattogram,418,317,115335.19,107570.12,0.9327,6,Delayed
2025-03,Primary Health,Khulna,368,361,122543.65,130665.55,1.0663,2,Delayed
2025-03,Primary Health,Rajshahi,419,423,185739.7,201120.44,1.0828,6,Delayed
2025-03,Climate Action,Dhaka,398,344,138936.07,144841.38,1.0425,1,Delayed
2025-03,Climate Action,Chattogram,291,270,162901.57,169302.27,1.0393,7,On track
2025-03,Climate Action,Khulna,254,173,123805.25,106276.53,0.8584,7,Delayed
2025-03,Climate Action,Rajshahi,346,272,205609.89,168144.83,0.8178,4,Delayed
2025-03,Women Empowerment,Dhaka,287,223,68490.74,63883.62,0.9327,3,Delayed
2025-03,Women Empowerment,Chattogram,279,238,213258.67,200697.39,0.9411,2,At risk
2025-03,Women Empowerment,Khulna,163,177,264773.99,249777.45,0.9434,6,Delayed
2025-03,Women Empowerment,Rajshahi,219,156,103204.95,116423.38,1.1281,2,Delayed
2025-04,Education,Dhaka,396,398,214008.26,233518.47,1.0912,7,On track
2025-04,Education,Chattogram,150,135,113974.62,80140.75,0.7031,5,At risk
2025-04,Education,Khulna,89,89,192167.81,195801.67,1.0189,2,On track
2025-04,Education,Rajshahi,194,225,273013.9,214514.45,0.7857,4,On track
2025-04,Primary Health,Dhaka,347,241,191105.27,162121.43,0.8483,2,Delayed
2025-04,Primary Health,Chattogram,372,389,297340.02,267988.05,0.9013,6,At risk
2025-04,Primary Health,Khulna,259,222,166533.64,130438.85,0.7833,3,Delayed
2025-04,Primary Health,Rajshahi,288,303,155577.02,154963.13,0.9961,0,On track
2025-04,Climate Action,Dhaka,272,282,200830.19,178793.74,0.8903,5,Delayed
2025-04,Climate Action,Chattogram,254,187,87856.51,85221.34,0.97,3,Delayed
2025-04,Climate Action,Khulna,203,174,128344.0,124142.21,0.9673,0,At risk
2025-04,Climate Action,Rajshahi,257,237,292316.47,317574.68,1.0864,2,At risk
2025-04,Women Empowerment,Dhaka,323,292,77672.67,67837.04,0.8734,5,At risk
2025-04,Women Empowerment,Chattogram,305,202,218656.18,234484.86,1.0724,5,Delayed
2025-04,Women Empowerment,Khulna,364,386,201859.19,164605.37,0.8154,7,On track
2025-04,Women Empowerment,Rajshahi,113,118,104019.89,88699.02,0.8527,3,On track
2025-05,Education,Dhaka,90,61,277120.02,287704.87,1.0382,5,Delayed
2025-05,Education,Chattogram,407,364,234348.35,208781.61,0.8909,3,Delayed
2025-05,Education,Khulna,274,231,69328.11,67839.94,0.9785,0,At risk
2025-05,Education,Rajshahi,411,412,188407.26,161284.45,0.856,5,Delayed
2025-05,Primary Health,Dhaka,190,149,262469.96,218918.63,0.8341,0,On track
2025-05,Primary Health,Chattogram,368,395,239638.13,199923.17,0.8343,3,At risk
2025-05,Primary Health,Khulna,319,251,258571.73,281969.73,1.0905,0,Delayed
2025-05,Primary Health,Rajshahi,418,459,285230.5,282613.57,0.9908,2,At risk
2025-05,Climate Action,Dhaka,107,117,81791.43,60951.85,0.7452,3,On track
2025-05,Climate Action,Chattogram,364,294,216334.38,243767.2,1.1268,6,Delayed
2025-05,Climate Action,Khulna,299,240,137617.79,140293.91,1.0194,7,At risk
2025-05,Climate Action,Rajshahi,407,483,166715.16,170593.46,1.0233,4,Delayed
2025-05,Women Empowerment,Dhaka,248,295,133570.86,124691.46,0.9335,4,On track
2025-05,Women Empowerment,Chattogram,150,172,291769.88,219505.41,0.7523,0,Delayed
2025-05,Women Empowerment,Khulna,83,74,138845.56,142808.06,1.0285,4,At risk
2025-05,Women Empowerment,Rajshahi,124,81,206614.92,199396.29,0.9651,0,On track
2025-06,Education,Dhaka,263,223,298820.38,270288.69,0.9045,1,Delayed
2025-06,Education,Chattogram,388,302,284249.62,240846.42,0.8473,7,Delayed
2025-06,Education,Khulna,255,175,59493.8,64295.58,1.0807,4,On track
2025-06,Education,Rajshahi,419,274,107764.49,95504.89,0.8862,0,At risk
2025-06,Primary Health,Dhaka,288,257,173589.02,141132.52,0.813,7,At risk
2025-06,Primary Health,Chattogram,162,152,269147.11,280828.42,1.0434,2,At risk
2025-06,Primary Health,Khulna,238,258,196536.29,184871.97,0.9407,2,Delayed
2025-06,Primary Health,Rajshahi,211,243,249445.27,244816.29,0.9814,5,On track
2025-06,Climate Action,Dhaka,378,290,238655.4,198121.38,0.8302,3,Delayed
2025-06,Climate Action,Chattogram,383,415,113838.0,105121.65,0.9234,4,Delayed
2025-06,Climate Action,Khulna,323,239,83420.67,68630.26,0.8227,5,Delayed
2025-06,Climate Action,Rajshahi,175,143,209553.42,237191.28,1.1319,5,At risk
2025-06,Women Empowerment,Dhaka,254,207,110280.36,94458.67,0.8565,5,On track
2025-06,Women Empowerment,Chattogram,292,268,274990.36,274275.49,0.9974,7,At risk
2025-06,Women Empowerment,Khulna,173,175,153035.71,122288.54,0.7991,7,On track
2025-06,Women Empowerment,Rajshahi,93,87,194191.0,220716.2,1.1366,2,On track
2025-07,Education,Dhaka,182,146,197943.92,203626.17,1.0287,0,At risk
2025-07,Education,Chattogram,138,109,250384.57,278143.46,1.1109,7,On track
2025-07,Education,Khulna,329,307,68388.57,72789.88,1.0644,4,On track
2025-07,Education,Rajshahi,136,153,135294.74,128877.56,0.9526,1,Delayed
2025-07,Primary Health,Dhaka,331,314,109591.16,86239.32,0.7869,1,At risk
2025-07,Primary Health,Chattogram,254,183,287612.01,224097.84,0.7792,5,On track
2025-07,Primary Health,Khulna,213,157,64299.32,49760.93,0.7739,3,Delayed
2025-07,Primary Health,Rajshahi,220,201,218973.53,161372.0,0.7369,2,On track
2025-07,Climate Action,Dhaka,140,127,288500.09,329287.95,1.1414,4,On track
2025-07,Climate Action,Chattogram,105,126,236150.59,170917.86,0.7238,0,At risk
2025-07,Climate Action,Khulna,230,204,199721.72,162068.1,0.8115,6,Delayed
2025-07,Climate Action,Rajshahi,278,184,220556.86,250894.2,1.1375,3,On track
2025-07,Women Empowerment,Dhaka,289,280,232070.51,165686.12,0.7139,3,At risk
2025-07,Women Empowerment,Chattogram,270,263,211766.02,241780.95,1.1417,3,On track
2025-07,Women Empowerment,Khulna,370,242,287733.35,327584.18,1.1385,7,On track
2025-07,Women Empowerment,Rajshahi,335,364,70737.19,50035.94,0.7073,7,On track
2025-08,Education,Dhaka,192,216,86547.97,99303.24,1.1474,4,At risk
2025-08,Education,Chattogram,277,261,256943.12,225971.95,0.8795,5,Delayed
2025-08,Education,Khulna,176,170,180544.0,197686.25,1.0949,1,At risk
2025-08,Education,Rajshahi,160,108,227180.23,253766.16,1.117,0,On track
2025-08,Primary Health,Dhaka,358,406,112577.82,117895.43,1.0472,6,On track
2025-08,Primary Health,Chattogram,338,377,208530.69,207862.65,0.9968,1,On track
2025-08,Primary Health,Khulna,415,495,92117.18,68281.48,0.7412,1,At risk
2025-08,Primary Health,Rajshahi,259,273,151813.41,134978.16,0.8891,4,Delayed
2025-08,Climate Action,Dhaka,202,155,173260.83,179993.16,1.0389,0,Delayed
2025-08,Climate Action,Chattogram,227,250,131137.46,107185.24,0.8174,1,Delayed
2025-08,Climate Action,Khulna,341,225,83818.66,63496.78,0.7575,5,At risk
2025-08,Climate Action,Rajshahi,391,425,173989.19,143232.3,0.8232,4,Delayed
2025-08,Women Empowerment,Dhaka,376,248,182778.86,139873.41,0.7653,6,At risk
2025-08,Women Empowerment,Chattogram,207,188,122496.58,115263.82,0.941,1,On track
2025-08,Women Empowerment,Khulna,339,396,286262.27,219479.08,0.7667,3,On track
2025-08,Women Empowerment,Rajshahi,315,211,122054.44,104704.56,0.8579,3,Delayed
2025-09,Education,Dhaka,298,266,232977.03,228752.53,0.9819,2,Delayed
2025-09,Education,Chattogram,97,79,253775.13,195069.74,0.7687,3,At risk
2025-09,Education,Khulna,311,221,266613.67,258518.22,0.9696,7,At risk
2025-09,Education,Rajshahi,192,211,72346.87,53365.77,0.7376,0,Delayed
2025-09,Primary Health,Dhaka,219,231,237813.09,176362.54,0.7416,7,Delayed
2025-09,Primary Health,Chattogram,396,365,120673.95,122468.07,1.0149,3,At risk
2025-09,Primary Health,Khulna,357,234,217691.8,239572.78,1.1005,4,At risk
2025-09,Primary Health,Rajshahi,375,290,75311.26,71106.22,0.9442,0,On track
2025-09,Climate Action,Dhaka,84,61,71614.01,60724.95,0.8479,1,On track
2025-09,Climate Action,Chattogram,347,330,283137.82,225818.09,0.7976,2,At risk
2025-09,Climate Action,Khulna,273,187,286083.96,231454.08,0.809,6,On track
2025-09,Climate Action,Rajshahi,274,205,240347.4,215334.04,0.8959,5,At risk
2025-09,Women Empowerment,Dhaka,233,237,224576.6,211349.14,0.9411,6,On track
2025-09,Women Empowerment,Chattogram,128,149,234017.55,196990.87,0.8418,5,Delayed
2025-09,Women Empowerment,Khulna,287,213,147624.9,130405.62,0.8834,1,At risk
2025-09,Women Empowerment,Rajshahi,190,173,180199.24,155733.2,0.8642,2,On track
2025-10,Education,Dhaka,285,321,298279.81,229723.05,0.7702,4,At risk
2025-10,Education,Chattogram,137,92,255303.12,247458.55,0.9693,4,On track
2025-10,Education,Khulna,405,468,285343.1,206055.41,0.7221,3,At risk
2025-10,Education,Rajshahi,335,371,164601.05,166905.5,1.014,1,At risk
2025-10,Primary Health,Dhaka,228,213,156358.55,171794.19,1.0987,4,At risk
2025-10,Primary Health,Chattogram,266,271,65506.36,46540.36,0.7105,0,On track
2025-10,Primary Health,Khulna,253,172,64592.73,55832.55,0.8644,4,On track
2025-10,Primary Health,Rajshahi,259,280,143368.37,137422.08,0.9585,3,On track
2025-10,Climate Action,Dhaka,121,125,265684.7,254231.48,0.9569,6,On track
2025-10,Climate Action,Chattogram,227,251,52965.39,55973.76,1.0568,3,On track
2025-10,Climate Action,Khulna,223,214,152629.48,140938.06,0.9234,1,On track
2025-10,Climate Action,Rajshahi,386,405,96964.54,91041.34,0.9389,1,On track
2025-10,Women Empowerment,Dhaka,358,298,60933.51,54515.66,0.8947,5,On track
2025-10,Women Empowerment,Chattogram,302,239,289533.43,327742.78,1.132,6,Delayed
2025-10,Women Empowerment,Khulna,242,241,280432.3,269488.71,0.961,0,Delayed
2025-10,Women Empowerment,Rajshahi,126,95,89133.49,71487.36,0.802,4,On track
2025-11,Education,Dhaka,247,246,275472.06,252422.28,0.9163,4,Delayed
2025-11,Education,Chattogram,120,119,130089.39,133303.06,1.0247,4,Delayed
2025-11,Education,Khulna,396,451,268833.53,243235.14,0.9048,2,At risk
2025-11,Education,Rajshahi,102,113,232286.46,244837.34,1.054,6,On track
2025-11,Primary Health,Dhaka,173,174,272428.57,312328.02,1.1465,2,On track
2025-11,Primary Health,Chattogram,290,223,79354.42,89898.54,1.1329,6,Delayed
