order_id,order_date,customer_id,product_id,product_name,category,region,channel,quantity,unit_price,discount,revenue,cost,profit
O00001,2025-08-04,C0016,P102,Polo Shirt,Apparel,Khulna,Retail,4,1126.33,0.15,3829.52,2366.87,1462.65
O00002,2025-03-08,C0013,P105,Monitor,Electronics,Dhaka,Partner,5,15073.94,0,75369.7,52424.93,22944.77
O00003,2025-10-14,C0185,P106,Headset,Electronics,Rajshahi,Partner,7,3169.28,0.1,19966.46,14048.57,5917.89
O00004,2026-01-13,C0163,P101,Shirt,Apparel,Chattogram,Online,6,819.88,0,4919.28,3071.23,1848.05
O00005,2025-02-24,C0121,P105,Monitor,Electronics,Rajshahi,Partner,4,15159.18,0.15,51541.21,30057.1,21484.11
O00006,2025-04-20,C0010,P106,Headset,Electronics,Dhaka,Partner,2,3334.22,0.1,6001.6,4427.5,1574.1
O00007,2026-10-16,C0088,P104,Keyboard,Electronics,Rajshahi,Partner,5,2368.98,0.05,11252.65,6842.5,4410.15
O00008,2025-10-12,C0077,P103,Trousers,Apparel,Rajshahi,Retail,7,1417.53,0,9922.71,7279.42,2643.29
O00009,2026-08-07,C0182,P107,Backpack,Accessories,Chattogram,Partner,5,1795.72,0.05,8529.67,6362.22,2167.45
O00010,2026-12-05,C0152,P105,Monitor,Electronics,Khulna,Online,1,15665.94,0.1,14099.35,8735.05,5364.3
O00011,2025-08-08,C0124,P103,Trousers,Apparel,Khulna,Online,7,1432.06,0,10024.42,6475.63,3548.79
O00012,2025-11-01,C0027,P103,Trousers,Apparel,Khulna,Retail,7,1503.75,0.1,9473.62,5777.33,3696.29
O00013,2026-08-03,C0096,P106,Headset,Electronics,Khulna,Retail,6,3258.83,0.15,16620.03,11681.98,4938.05
O00014,2026-12-23,C0143,P105,Monitor,Electronics,Chattogram,Online,2,14646.36,0,29292.72,18661.92,10630.8
O00015,2025-11-24,C0051,P107,Backpack,Accessories,Dhaka,Online,7,1814.17,0,12699.19,8017.86,4681.33
O00016,2026-09-18,C0145,P102,Polo Shirt,Apparel,Rajshahi,Retail,5,1062.34,0.05,5046.11,2953.71,2092.4
O00017,2026-06-14,C0012,P103,Trousers,Apparel,Khulna,Online,5,1431.12,0.1,6440.04,3887.46,2552.58
O00018,2025-05-19,C0062,P107,Backpack,Accessories,Rajshahi,Online,2,1787.84,0.05,3396.9,2506.24,890.66
O00019,2026-08-01,C0028,P101,Shirt,Apparel,Khulna,Partner,4,760.84,0.05,2891.19,2053.11,838.08
O00020,2025-11-28,C0061,P102,Polo Shirt,Apparel,Chattogram,Retail,5,1041.34,0.15,4425.69,2873.15,1552.54
O00021,2025-02-10,C0101,P102,Polo Shirt,Apparel,Chattogram,Online,7,1070.96,0.15,6372.21,3773.87,2598.34
O00022,2025-11-22,C0020,P103,Trousers,Apparel,Dhaka,Retail,2,1594.43,0.1,2869.97,1970.54,899.43
O00023,2025-08-06,C0119,P108,Notebook,Stationery,Chattogram,Retail,4,180.63,0.05,686.39,478.17,208.22
O00024,2026-08-04,C0135,P105,Monitor,Electronics,Dhaka,Partner,3,14176.86,0.05,40404.05,29383.15,11020.9
