customer_id,signup_date,segment,region,acquisition_channel
C0001,2025-08-15,Small Business,Rajshahi,Organic
C0002,2025-07-09,Small Business,Chattogram,Social
C0003,2025-08-08,Corporate,Rajshahi,Paid Search
C0004,2025-06-19,Consumer,Rajshahi,Paid Search
C0005,2025-07-14,Small Business,Chattogram,Referral
C0006,2025-10-16,Consumer,Chattogram,Referral
C0007,2025-03-26,Small Business,Khulna,Organic
C0008,2025-03-21,Consumer,Khulna,Social
C0009,2025-08-14,Corporate,Dhaka,Organic
C0010,2025-08-05,Corporate,Rajshahi,Organic
C0011,2025-09-18,Corporate,Chattogram,Paid Search
C0012,2025-06-15,Consumer,Dhaka,Social
C0013,2025-11-26,Corporate,Chattogram,Organic
C0014,2025-06-07,Corporate,Khulna,Paid Search
C0015,2025-07-25,Corporate,Khulna,Social
C0016,2025-03-01,Consumer,Khulna,Organic
C0017,2025-04-16,Corporate,Rajshahi,Organic
C0018,2025-07-22,Consumer,Rajshahi,Social
C0019,2025-07-24,Corporate,Chattogram,Organic
C0020,2025-09-08,Small Business,Chattogram,Referral
C0021,2025-04-19,Small Business,Dhaka,Paid Search
C0022,2025-09-23,Small Business,Dhaka,Organic
C0023,2025-03-13,Consumer,Rajshahi,Social
C0024,2025-01-16,Consumer,Khulna,Referral
C0025,2025-01-23,Consumer,Chattogram,Referral
C0026,2025-02-24,Corporate,Khulna,Paid Search
C0027,2025-05-31,Consumer,Chattogram,Organic
C0028,2025-10-15,Corporate,Chattogram,Social
C0029,2025-10-25,Corporate,Chattogram,Social
C0030,2025-12-06,Consumer,Dhaka,Referral
C0031,2025-12-28,Corporate,Rajshahi,Paid Search
C0032,2025-07-04,Corporate,Khulna,Social
C0033,2025-12-14,Small Business,Dhaka,Organic
C0034,2025-05-10,Corporate,Dhaka,Paid Search
C0035,2025-01-19,Small Business,Dhaka,Organic
C0036,2025-12-29,Consumer,Khulna,Organic
C0037,2025-01-27,Small Business,Rajshahi,Organic
C0038,2025-08-09,Corporate,Rajshahi,Organic
C0039,2025-07-02,Corporate,Khulna,Social
C0040,2025-10-13,Consumer,Khulna,Social
C0041,2025-06-01,Corporate,Khulna,Organic
C0042,2025-12-20,Corporate,Dhaka,Paid Search
C0043,2025-04-18,Corporate,Rajshahi,Referral
C0044,2025-11-01,Corporate,Rajshahi,Social
C0045,2025-11-25,Small Business,Dhaka,Organic
C0046,2025-02-07,Consumer,Chattogram,Organic
C0047,2025-04-17,Small Business,Rajshahi,Social
C0048,2025-07-27,Corporate,Chattogram,Paid Search
C0049,2025-11-24,Corporate,Dhaka,Social
C0050,2025-03-10,Corporate,Khulna,Social
C0051,2025-11-29,Small Business,Chattogram,Paid Search
C0052,2025-03-14,Corporate,Rajshahi,Referral
C0053,2025-09-17,Corporate,Rajshahi,Organic
C0054,2025-01-16,Corporate,Khulna,Social
C0055,2025-04-16,Corporate,Chattogram,Organic
C0056,2025-04-18,Consumer,Rajshahi,Organic
C0057,2025-12-04,Corporate,Rajshahi,Social
C0058,2025-02-15,Consumer,Rajshahi,Social
C0059,2025-09-05,Consumer,Chattogram,Organic
C0060,2025-07-21,Corporate,Rajshahi,Paid Search
C0061,2025-09-07,Small Business,Rajshahi,Organic
C0062,2025-09-25,Corporate,Rajshahi,Referral
C0063,2025-11-15,Small Business,Khulna,Organic
C0064,2025-03-26,Corporate,Rajshahi,Paid Search
C0065,2025-11-22,Consumer,Rajshahi,Referral
C0066,2025-12-20,Consumer,Khulna,Paid Search
C0067,2025-09-29,Small Business,Dhaka,Social
C0068,2025-09-07,Small Business,Khulna,Paid Search
C0069,2025-01-21,Consumer,Khulna,Organic
C0070,2025-10-04,Small Business,Dhaka,Paid Search
C0071,2025-09-01,Small Business,Rajshahi,Paid Search
C0072,2025-01-29,Consumer,Dhaka,Paid Search
C0073,2025-03-02,Corporate,Khulna,Social
C0074,2025-03-27,Corporate,Dhaka,Paid Search
C0075,2025-09-20,Consumer,Dhaka,Paid Search
C0076,2025-10-13,Consumer,Chattogram,Organic
C0077,2025-02-21,Corporate,Rajshahi,Social
C0078,2025-11-27,Small Business,Dhaka,Social
C0079,2025-07-01,Corporate,Dhaka,Organic
C0080,2025-01-14,Corporate,Dhaka,Paid Search
C0081,2025-12-10,Corporate,Khulna,Social
C0082,2025-01-08,Consumer,Chattogram,Social
C0083,2025-01-30,Consumer,Khulna,Paid Search
C0084,2025-06-23,Corporate,Dhaka,Referral
C0085,2025-02-02,Corporate,Rajshahi,Social
C0086,2025-01-16,Corporate,Rajshahi,Organic
C0087,2025-02-24,Corporate,Khulna,Referral
C0088,2025-12-27,Small Business,Khulna,Social
C0089,2025-01-09,Small Business,Khulna,Paid Search
C0090,2025-12-30,Consumer,Chattogram,Paid Search
C0091,2025-06-16,Small Business,Chattogram,Referral
C0092,2025-10-22,Small Business,Dhaka,Social
C0093,2025-03-26,Small Business,Chattogram,Paid Search
C0094,2025-09-20,Consumer,Khulna,Social
C0095,2025-02-11,Small Business,Dhaka,Referral
C0096,2025-02-26,Consumer,Khulna,Organic
C0097,2025-11-04,Consumer,Rajshahi,Social
C0098,2025-03-03,Consumer,Rajshahi,Referral
C0099,2025-11-02,Corporate,Khulna,Social
C0100,2025-06-23,Consumer,Dhaka,Referral
