transaction_id,customer_id,transaction_date,revenue,channel
T0001-01,C0001,2025-09-27,5384.76,Store
T0001-02,C0001,2025-09-09,3255.03,App
T0001-03,C0001,2025-09-14,1400.06,App
T0002-01,C0002,2025-07-21,2161.95,Store
T0002-02,C0002,2025-09-24,1106.5,App
T0002-03,C0002,2026-02-18,3531.87,Store
T0002-04,C0002,2026-03-03,5241.59,Web
T0002-05,C0002,2026-03-18,1078.69,Store
T0002-06,C0002,2025-09-03,2145.58,Store
T0002-07,C0002,2025-11-13,3768.4,Web
T0002-08,C0002,2026-03-19,1956.85,Store
T0002-09,C0002,2026-01-21,3043.15,Web
T0002-10,C0002,2026-02-01,4852.74,Web
T0002-11,C0002,2026-02-20,1866.59,App
T0003-01,C0003,2025-12-18,3374.1,App
T0004-01,C0004,2025-07-16,1005.64,Web
T0005-01,C0005,2025-10-11,936.33,Store
T0005-02,C0005,2025-08-18,2367.21,Store
T0005-03,C0005,2025-10-30,1396.39,Store
T0005-04,C0005,2025-11-12,3870.38,Web
T0005-05,C0005,2025-07-20,1862.07,Store
T0005-06,C0005,2025-07-20,5235.1,Web
T0005-07,C0005,2025-11-28,4187.22,Web
T0006-01,C0006,2026-08-19,2193.59,Store
T0006-02,C0006,2026-05-06,1544.26,App
T0006-03,C0006,2026-04-02,3409.41,Store
T0006-04,C0006,2026-07-23,2663.69,App
T0006-05,C0006,2025-12-03,1137.08,Store
T0006-06,C0006,2026-03-11,4992.42,App
T0007-01,C0007,2025-05-05,3218.68,Store
T0007-02,C0007,2025-04-03,2155.19,Store
T0007-03,C0007,2025-10-20,3324.65,Store
T0007-04,C0007,2025-06-15,5426.31,Store
T0007-05,C0007,2026-03-10,5566.69,App
T0007-06,C0007,2025-12-03,913.83,Store
T0007-07,C0007,2025-08-01,5542.11,Web
T0008-01,C0008,2025-03-21,3677.45,Web
T0008-02,C0008,2025-05-01,387.12,Store
T0009-01,C0009,2025-08-26,3805.13,Web
T0010-01,C0010,2025-08-30,774.89,Store
T0011-01,C0011,2025-09-27,1819.5,Store
T0011-02,C0011,2026-07-09,498.09,App
T0011-03,C0011,2025-12-26,4040.9,Web
T0011-04,C0011,2026-07-31,4618.6,Web
T0011-05,C0011,2026-02-27,4308.74,App
T0011-06,C0011,2026-06-15,2216.64,App
T0011-07,C0011,2026-09-30,2158.95,Web
T0011-08,C0011,2026-05-14,3954.67,App
T0012-01,C0012,2025-07-19,1345.99,App
T0012-02,C0012,2025-12-18,704.21,Web
T0012-03,C0012,2026-01-08,5119.9,Web
T0012-04,C0012,2025-10-17,4659.84,Store
T0012-05,C0012,2025-11-22,4098.23,App
T0012-06,C0012,2025-08-29,4723.6,App
T0012-07,C0012,2026-01-20,252.06,Web
T0012-08,C0012,2025-12-06,4566.69,App
T0012-09,C0012,2026-01-31,2281.86,Web
T0012-10,C0012,2025-12-11,1939.17,App
T0013-01,C0013,2026-04-14,5267.22,Web
T0013-02,C0013,2026-10-13,2862.68,App
T0013-03,C0013,2026-07-07,2324.79,Web
T0013-04,C0013,2026-07-25,2499.97,App
T0013-05,C0013,2026-09-26,2505.58,Store
T0013-06,C0013,2026-06-28,1901.61,Store
