MonthStart,RegionKey,RevenueTarget
2025-01-01,R01,5586
2025-01-01,R02,5232
2025-01-01,R03,5110
2025-01-01,R04,4689
2025-02-01,R01,5440
2025-02-01,R02,5972
2025-02-01,R03,4978
2025-02-01,R04,4553
2025-03-01,R01,6244
2025-03-01,R02,5029
2025-03-01,R03,5092
2025-03-01,R04,5435
2025-04-01,R01,5495
2025-04-01,R02,5948
2025-04-01,R03,5443
2025-04-01,R04,4876
2025-05-01,R01,5335
2025-05-01,R02,5575
2025-05-01,R03,5424
2025-05-01,R04,4715
2025-06-01,R01,5265
2025-06-01,R02,6121
2025-06-01,R03,5988
2025-06-01,R04,4860
2025-07-01,R01,5649
2025-07-01,R02,5291
2025-07-01,R03,5000
2025-07-01,R04,6106
2025-08-01,R01,5374
2025-08-01,R02,5311
2025-08-01,R03,6107
2025-08-01,R04,5811
2025-09-01,R01,5035
2025-09-01,R02,4713
2025-09-01,R03,6278
2025-09-01,R04,4689
2025-10-01,R01,4910
2025-10-01,R02,4824
2025-10-01,R03,5790
2025-10-01,R04,4783
2025-11-01,R01,5805
2025-11-01,R02,5952
2025-11-01,R03,4959
2025-11-01,R04,4986
2025-12-01,R01,4762
2025-12-01,R02,5484
2025-12-01,R03,6214
2025-12-01,R04,5262
2026-01-01,R01,5348
2026-01-01,R02,6122
2026-01-01,R03,4836
2026-01-01,R04,5684
2026-02-01,R01,4683
2026-02-01,R02,5008
2026-02-01,R03,4975
2026-02-01,R04,5237
2026-03-01,R01,6078
2026-03-01,R02,6025
2026-03-01,R03,4612
2026-03-01,R04,5978
2026-04-01,R01,6238
2026-04-01,R02,5709
2026-04-01,R03,4844
2026-04-01,R04,4608
2026-05-01,R01,5446
2026-05-01,R02,4932
2026-05-01,R03,5073
2026-05-01,R04,5809
2026-06-01,R01,4566
2026-06-01,R02,6282
2026-06-01,R03,5516
2026-06-01,R04,5162
2026-07-01,R01,4928
2026-07-01,R02,4892
2026-07-01,R03,4651
2026-07-01,R04,6262
2026-08-01,R01,5714
2026-08-01,R02,4858
2026-08-01,R03,6290
2026-08-01,R04,4568
2026-09-01,R01,4823
2026-09-01,R02,5903
2026-09-01,R03,4893
2026-09-01,R04,5240
2026-10-01,R01,5342
2026-10-01,R02,5767
2026-10-01,R03,5442
2026-10-01,R04,6092
2026-11-01,R01,5993
2026-11-01,R02,5560
2026-11-01,R03,6266
2026-11-01,R04,5791
2026-12-01,R01,4937
2026-12-01,R02,4677
2026-12-01,R03,6076
2026-12-01,R04,5375
