order_id,order_date,customer_id,product_id,product_name,category,region,channel,quantity,unit_price,discount,revenue,cost,profit,margin
O0001,2026-02-01,C072,P107,Backpack,Accessories,Chattogram,Online,2,1855.29,0.15,3153.99,2228.53,925.46,0.2934
O0002,2026-01-19,C040,P107,Backpack,Accessories,Chattogram,Partner,3,1798.5,0.1,4855.95,3294.18,1561.77,0.3216
O0003,2025-06-28,C105,P107,Backpack,Accessories,Rajshahi,Retail,6,1924.7,0,11548.2,7272.33,4275.87,0.3703
O0004,2026-11-19,C025,P104,Keyboard,Electronics,Khulna,Retail,4,2203.09,0.15,7490.51,5172.2,2318.31,0.3095
O0005,2025-12-03,C109,P112,Webcam,Electronics,Dhaka,Partner,3,4061.91,0,12185.73,8879.41,3306.32,0.2713
O0006,2026-05-02,C067,P107,Backpack,Accessories,Chattogram,Retail,5,1806.0,0,9030.0,5739.14,3290.86,0.3644
O0007,2026-11-02,C005,P109,Notebook,Stationery,Khulna,Partner,7,187.3,0,1311.1,980.84,330.26,0.2519
O0008,2025-05-06,C020,P104,Keyboard,Electronics,Khulna,Online,6,2069.06,0.15,10552.21,6353.66,4198.55,0.3979
O0009,2026-06-01,C025,P110,Pen Set,Stationery,Dhaka,Retail,1,326.61,0.05,310.28,218.95,91.33,0.2943
O0010,2026-10-17,C116,P105,Monitor,Electronics,Chattogram,Online,6,14082.37,0.15,71820.09,42212.72,29607.37,0.4122
O0011,2026-02-03,C018,P110,Pen Set,Stationery,Dhaka,Online,2,339.18,0.1,610.52,442.96,167.56,0.2745
O0012,2026-01-06,C114,P107,Backpack,Accessories,Dhaka,Online,1,1693.86,0.15,1439.78,847.36,592.42,0.4115
O0013,2026-01-13,C072,P105,Monitor,Electronics,Rajshahi,Partner,6,15288.68,0,91732.08,67051.11,24680.97,0.2691
O0014,2026-03-18,C045,P101,Shirt,Apparel,Khulna,Partner,3,793.36,0.15,2023.07,1345.69,677.38,0.3348
O0015,2026-03-24,C112,P101,Shirt,Apparel,Chattogram,Retail,4,830.04,0,3320.16,2512.73,807.43,0.2432
O0016,2025-04-30,C062,P108,Laptop Stand,Accessories,Rajshahi,Online,6,1712.78,0.05,9762.85,6962.91,2799.94,0.2868
O0017,2025-05-25,C033,P104,Keyboard,Electronics,Rajshahi,Partner,1,2124.86,0,2124.86,1370.25,754.61,0.3551
O0018,2025-12-16,C111,P102,Polo Shirt,Apparel,Rajshahi,Retail,2,1073.29,0,2146.58,1590.8,555.78,0.2589
O0019,2026-06-12,C096,P111,Desk Lamp,Accessories,Khulna,Online,2,2328.25,0,4656.5,3398.11,1258.39,0.2702
