transaction_id,order_date,region,channel,product,category,quantity,unit_price_bdt,discount_rate,revenue_bdt,cost_bdt,profit_bdt
TX-0001,2026-01-01,Dhaka,Store,T-Shirt,Apparel,2,650,0.15,1105.0,720,385.0
TX-0002,2026-01-01,Chattogram,Store,T-Shirt,Apparel,8,650,0,5200,2880,2320
TX-0003,2026-01-02,Rajshahi,Store,Sneakers,Footwear,1,2400,0.1,2160.0,1550,610.0
TX-0004,2026-01-02,Khulna,Online,Backpack,Accessories,6,1800,0.1,9720.0,6720,3000.0
TX-0005,2026-01-03,Dhaka,Online,Polo Shirt,Apparel,1,1200,0.05,1140.0,720,420.0
TX-0006,2026-01-03,Chattogram,Online,Formal Shirt,Apparel,4,1450,0,5800,3520,2280
TX-0007,2026-01-04,Rajshahi,Partner,Polo Shirt,Apparel,6,1200,0.15,6120.0,4320,1800.0
TX-0008,2026-01-04,Khulna,Partner,Notebook Set,Stationery,5,320,0,1600,850,750
TX-0009,2026-01-05,Dhaka,Partner,Sneakers,Footwear,4,2400,0,9600,6200,3400
TX-0010,2026-01-05,Chattogram,Store,Sneakers,Footwear,4,2400,0,9600,6200,3400
TX-0011,2026-01-06,Rajshahi,Store,T-Shirt,Apparel,3,650,0.05,1852.5,1080,772.5
TX-0012,2026-01-06,Khulna,Store,Sneakers,Footwear,8,2400,0.05,18240.0,12400,5840.0
TX-0013,2026-01-07,Dhaka,Online,Formal Shirt,Apparel,6,1450,0.05,8265.0,5280,2985.0
TX-0014,2026-01-07,Chattogram,Online,Polo Shirt,Apparel,4,1200,0.15,4080.0,2880,1200.0
TX-0015,2026-01-08,Rajshahi,Online,Sneakers,Footwear,3,2400,0.1,6480.0,4650,1830.0
TX-0016,2026-01-08,Khulna,Partner,Polo Shirt,Apparel,2,1200,0.05,2280.0,1440,840.0
TX-0017,2026-01-09,Dhaka,Partner,Notebook Set,Stationery,2,320,0,640,340,300
TX-0018,2026-01-09,Chattogram,Partner,Notebook Set,Stationery,4,320,0.05,1216.0,680,536.0
TX-0019,2026-01-10,Rajshahi,Store,Notebook Set,Stationery,1,320,0.1,288.0,170,118.0
TX-0020,2026-01-10,Khulna,Store,T-Shirt,Apparel,1,650,0,650,360,290
TX-0021,2026-01-11,Dhaka,Store,Backpack,Accessories,6,1800,0,10800,6720,4080
TX-0022,2026-01-11,Chattogram,Online,T-Shirt,Apparel,5,650,0,3250,1800,1450
